1005,	 "(42.99548, -74.3346)",	 "Thu Jan 01 09:00:00 UTC 2015",	 "false",	 "Grandma Millie''s Bakery",	 "160 County Highway 153, Johnstown, NY 12095",	 "1420102800446",	 "",	 "",	 ""
1005,	 "(41.69307, -72.6564)",	 "Fri Jan 09 17:47:50 UTC 2015",	 "true",	 "FroyoWorld",	 "1107 Silas Deane Highway, Wethersfield, CT 06109",	 "1420825670446",	 "",	 "",	 ""
1005,	 "(41.7083, -72.6619)",	 "Sat Jan 10 09:00:00 UTC 2015",	 "true",	 "Mr China",	 "614 Silas Deane Hwy, Wethersfield, CT 06109-2215",	 "1420880400446",	 "",	 "",	 ""
1005,	 "(41.69911, -72.65874)",	 "Sat Jan 10 11:13:22 UTC 2015",	 "true",	 "City Fish Market",	 "884 Silas Deane Highway, Wethersfield, CT 06109-3412",	 "1420888402446",	 "5 of 5 stars",	 "Outstanding Lobster Roll!",	 "I visited this restaurant for the first time yesterday noon while visiting a friend in Glastonbury. It was her suggestion. A great suggestion! Living in New England, we have the luxury of sampling lobster rolls at many venues, both small and large. Although this inland version of a seaside food emporium can be very busy, it is well worth the..."
1005,	 "(41.7101, -72.66157)",	 "Sat Jan 10 13:29:14 UTC 2015",	 "true",	 "Wells Tavern",	 "69 Beaver Rd., Wethersfield, CT",	 "1420896554446",	 "4 of 5 stars",	 "Good local hang out",	 "The burgers and the Parmesan grinders were both good. This is by no means a special occasion restaurant but for good food at a good price and supporting a locally owned business, go here. I had the orzo soup from their sister restaurant Cavos and it was good so safe to assume it will also be good in Wethersfield."
1005,	 "(41.70186, -72.6598)",	 "Sat Jan 10 15:41:54 UTC 2015",	 "true",	 "Yum Yum Coffee",	 "810 Silas Deane Hwy, Wethersfield, CT 06109-3437",	 "1420904514446",	 "",	 "",	 ""
1005,	 "(41.70598, -72.66164)",	 "Sat Jan 10 16:47:42 UTC 2015",	 "true",	 "Max Bibo''s Delicatessens",	 "691 Silas Deane Hwy, Wethersfield, CT 06109-3026",	 "1420908462446",	 "4 of 5 stars",	 "Good but Pricy",	 "Have been here for lunch many, many times. It can get very crowded around lunch time so be prepared to wait. The sandwiches are all quite good but they are pretty expensive. You don''t always feel like you are getting your money''s worth in terms of food to price ratio. The salads are also good."
1005,	 "(41.70497, -72.66106)",	 "Sat Jan 10 18:49:14 UTC 2015",	 "true",	 "Wethersfield Diner",	 "718 Silas Deane Hwy., Rocky Hill, CT 06067",	 "1420915754446",	 "1 of 5 stars",	 "No good",	 "Whoever is running this place now, has decided that serving less than good home style cooking will do. The old owners are missed."
1005,	 "(42.2894, -74.6533)",	 "Sun Jan 11 09:00:00 UTC 2015",	 "false",	 "Ski Plattekill Mountain",	 "469 Plattekill Mountain Road, Roxbury, NY 12474",	 "1420966800446",	 "4 of 5 stars",	 "Step back in time",	 "We visited this mountain on George Washington''s Weekend. It was somewhat hard to find since it is so far off the beaten path. There could have been more signage to let us know we were still on the right path. Once there, it reminded me of ski areas I visited when I was a child - very quaint. There were..."
1005,	 "(41.73137, -74.60506)",	 "Mon Jan 12 09:00:00 UTC 2015",	 "false",	 "Sprinkles Kosher Pizza",	 "5670 State Route 42, Fallsburg, NY 12733",	 "1421053200446",	 "",	 "",	 ""
1005,	 "(42.12921, -74.40472)",	 "Tue Jan 13 09:00:00 UTC 2015",	 "false",	 "Catskill Seasons Inn",	 "178 Rt 42, Shandaken, NY 12480",	 "1421139600446",	 "4 of 5 stars",	 "Hidden Gem",	 "Tucked away, we just heard about this place while visiting our log cabin last year. The husband (Chago) and wife team make you feel right at home. Cozy but with white tablecloths and service!If you go on Thursdays, $16.50 for 3 course. Try Chago''s Pil Pil or the little neck clams over pasta. They also have a vegetarian menu."
1005,	 "(42.0405, -74.0909)",	 "Wed Jan 14 09:00:00 UTC 2015",	 "false",	 "Woodstock School of Art",	 "2470 Route 212, P.O. Box 338, Woodstock, NY 12498",	 "1421226000446",	 "5 of 5 stars",	 "Art classes in an important school steeped in history",	 "I spent three days painting with Richard Segalman in a wonderful studio at the Woodstock School of Art. The building has spacious, well-lit studios with lots of natural light. Set in the woods, it''s quiet and still, yet vibrant with the spirit of great artists who have worked there for many years. Richard Segalman is a wonderful teacher who gently..."
1005,	 "(41.6, -74.3001)",	 "Thu Jan 15 09:00:00 UTC 2015",	 "false",	 "Culinary Creations",	 "550 Dunn Rd, Montgomery, NY 12549",	 "1421312400446",	 "4 of 5 stars",	 "Small, local place",	 "The food here is quite tasty and creative, but, alas, the service is slow. Don''t drop in unless you have a few hours to spend."
1005,	 "(41.6094, -74.3009)",	 "Thu Jan 15 10:14:46 UTC 2015",	 "false",	 "Paraiso Latino",	 "72 Main Street, Pine Bush, NY",	 "1421316886446",	 "4 of 5 stars",	 "Love Mexican food",	 "This is decent place to eat. I enjoyed their food. I would recommend it for sure. If you like Mexican food."
1005,	 "(41.6099, -74.302)",	 "Thu Jan 15 12:16:32 UTC 2015",	 "false",	 "Thorndale Dairy Bar",	 "143 Maple Avenue, Pine Bush, NY 12566",	 "1421324192446",	 "",	 "",	 ""
1005,	 "(42.86033, -73.9324)",	 "Fri Jan 16 09:00:00 UTC 2015",	 "false",	 "Empire State Aeroscineces Museum",	 "250 Rudy Chase Drive, Scotia, NY 12302",	 "1421398800446",	 "4 of 5 stars",	 "A nice slice of history",	 "Representative aircraft from many eras, back the WWII, Lots of Viet Nam era craft and more modern, you can get right next to and touch a piece of history."
1005,	 "(42.87158, -73.9312)",	 "Fri Jan 16 11:15:53 UTC 2015",	 "false",	 "Tasty Wok",	 "272 Saratoga Rd, Scotia, NY 12302-5017",	 "1421406953446",	 "4 of 5 stars",	 "Fantastic Hot and Sour Soup",	 "This is my favorite Chinese take-out for hot and sour soup. Excellent flavor, and spiced nice and hot. Great for wintertime eating to warm the body. Egg rolls are also excellent. Price is cheap, take out is quick, location easy to get to."
1005,	 "(42.8693, -73.93255)",	 "Fri Jan 16 12:19:15 UTC 2015",	 "false",	 "Neon Sushi",	 "247 Saratoga rd, Glenville, NY",	 "1421410755446",	 "5 of 5 stars",	 "Love it!",	 "Prior to moving to Glenville we frequented Hana in Albany(our favorite Hibachi ever!). We were excited to find a sushi/hibachi restaurant so close to our home(1/4 mile) - this is a good thing and bad thing! We LOVE hibachi and got 1-2 times per week.Neon has excellent and attentive service. We are greeted at the door by the Manager..."
1005,	 "(42.8601, -73.9347)",	 "Fri Jan 16 13:32:12 UTC 2015",	 "false",	 "Ruggiero''s Pizza and Deli",	 "123 Saratoga Rd, Glenville, NY 12302",	 "1421415132446",	 "5 of 5 stars",	 "Best pizza and deli sandwiches in the area",	 "The Ruggiero family has served the best pizza in the area for over 20 years. The paninis and sandwiches are fabulous too. I can always be assured of the finest quality ingredients in their food."
1005,	 "(42.85965, -73.9351)",	 "Fri Jan 16 15:32:55 UTC 2015",	 "false",	 "Golden Bird",	 "123 Saratoga Rd, Scotia, NY 12302-7154",	 "1421422375446",	 "",	 "",	 ""
1005,	 "(41.85219, -74.0659)",	 "Sat Jan 17 09:00:00 UTC 2015",	 "false",	 "Thirty-Two Lunch",	 "Rosendale Shopping Ctr, Rosendale, NY 12472",	 "1421485200446",	 "2 of 5 stars",	 "Would never eat here again",	 "Owners are rude and lack customer relations. Food is nothing to write home about, all made on a greasy grill. They behave like they are doing you a favor letting you patronize their establishment."
1005,	 "(42.1956, -74.1345)",	 "Sun Jan 18 09:00:00 UTC 2015",	 "false",	 "Village Bistro",	 "6033 Main Street, Tannersville, NY 12485",	 "1421571600446",	 "5 of 5 stars",	 "Great food!",	 "Had dinner and breakfast. Great food and service and sit on the porch for a fabulous view. Enjoyed the trout and pork loin for dinner and the pancakes and cinnamon French toast for breakfast."
1005,	 "(42.195, -74.1331)",	 "Sun Jan 18 10:02:58 UTC 2015",	 "false",	 "Last Chance Antiques & Cheese Cafe",	 "6009 Main St., Tannersville, NY 12485",	 "1421575378446",	 "3 of 5 stars",	 "Disappointed!",	 "We went to this restaurant on a Sunday evening based on previous reviews. I ordered the portabella mushroom sandwich - they ran out. My husband ordered the chicken pot pie - they ran out. The french onion soup needed to be browned on top, not just barely melted. My turkey knish-wich was okay - deli turkey put inside a knish...."
1005,	 "(42.1956, -74.1367)",	 "Sun Jan 18 12:07:51 UTC 2015",	 "false",	 "Currans",	 "6080 Main Street, Tannersville, NY 12485",	 "1421582871446",	 "4 of 5 stars",	 "Large groups",	 "While other restaurants had an hour wait without guaranteeing seating our group of 15 together, Tamy and staff accommodated us within minutes. The waiter didn''t seem to thrilled with us b/c we asked about using multiple credit cards (I know its a nightmare for them - we paid mostly in cash n 2 cc''s so not so bad), we weren''t..."
1005,	 "(42.1957, -74.1358)",	 "Sun Jan 18 13:08:51 UTC 2015",	 "false",	 "Yummy Asia",	 "6062 Main, Tannersville, NY 12424",	 "1421586531446",	 "",	 "",	 ""
1005,	 "(42.1954, -74.1316)",	 "Sun Jan 18 14:13:12 UTC 2015",	 "false",	 "Spinning Room Bar and Lounge",	 "5975 Main St, Tannersville, NY 12485",	 "1421590392446",	 "4 of 5 stars",	 "Best burgers in the area. Good wings and homemade fries.",	 "Went for lunch and had a great meal. Started with wings. Awesome flavor very meaty Very good burgers next with the best homemade fries. Cold beers and friendly staff. Must stop when at hunter mtn!"
1005,	 "(42.04002, -74.1197)",	 "Mon Jan 19 09:00:00 UTC 2015",	 "false",	 "SweetHeart Gallery",	 "8 Tannery Brook Road, Woodstock, NY 12498",	 "1421658000446",	 "4 of 5 stars",	 "A must-stop shop in Woodstock",	 "My husband and I visit SweetHeart Gallery every time we visit Woodstock. There is always something different to look at in the shop and most of the items are really unique. They have some beautiful pieces of furniture and art. The shop is also in a really pretty part of Woodstock, which is nice. My only criticism is that some..."
1005,	 "(42.0406, -74.1188)",	 "Mon Jan 19 11:01:51 UTC 2015",	 "false",	 "Oriole 9",	 "17 Tinker Street, Woodstock, NY 12498",	 "1421665311446",	 "5 of 5 stars",	 "Had a lovely breakfast here. Food is excellent.",	 "They had a nice menu and very good food. Service was good. We will come back. Good location in Woodstock."
1005,	 "(42.0411, -74.1182)",	 "Mon Jan 19 13:02:44 UTC 2015",	 "false",	 "Yum Yum noodlebar",	 "4 Rock City Road, Woodstock, NY 12498",	 "1421672564446",	 "5 of 5 stars",	 "loved it",	 "we had a great bento box. alkthough getting the sesame noodles separate is even better, they add sesame seeds and mung sprouts. outdoor seating, great sake. great service. good for people watching in the town."
1005,	 "(42.0403, -74.1178)",	 "Mon Jan 19 14:04:08 UTC 2015",	 "false",	 "The Tea Shop",	 "7 Maple Ln, Woodstock, NY 12498",	 "1421676248446",	 "5 of 5 stars",	 "Charming!",	 "The Tea Shop is a delightful little oasis tucked in behind Bread Alone, off Tinker Street. They carry a huge selection of Harney teas and tea accessories like stunning, hand wrought teapots and cups, cosies, and infusers. They also carry a small selection of incredible handmade chocolates!"
1005,	 "(42.76113, -74.6151)",	 "Tue Jan 20 09:00:00 UTC 2015",	 "false",	 "The LaBonte Coffee Shop & Steakhouse",	 "206 E Walnut St, Douglas, WY 82633",	 "1421744400446",	 "",	 "",	 ""
1005,	 "(42.7595, -74.6172)",	 "Tue Jan 20 10:00:13 UTC 2015",	 "false",	 "Wyoming Pioneer Memorial Museum",	 "400 West Center, Douglas, WY 82633",	 "1421748013446",	 "5 of 5 stars",	 "Best FREE museum I''ve ever been to.",	 "I joined trip advisor in order to write a review of this museum. My fianc?, my nine year old son and myself were traveling through Douglas on our way to Casper from Denver. We stopped in Douglas to stretch our legs, and on our way back out if town drove by the Pioneer museum. We pulled in not expecting much..."
1005,	 "(42.75946, -74.6174)",	 "Tue Jan 20 12:00:19 UTC 2015",	 "false",	 "Douglas Railroad Interpretive Center",	 "25 Center St, I-25 Exit 140 i.e. Yellowstone Hwy, Douglas, WY",	 "1421755219446",	 "4 of 5 stars",	 "Stop a bit, learn a lot.",	 "If, after hours of arid scenery you need a Green, green grass of home break, this is for you. Co-located with the Chamber of Commerce, this center grants access to some of the finest rolling stock (passenger cars) outside of the B&O Rail Museum in Baltimore.The attentive staff of two, were Docent-level prepared to interpret and dispense a glossy,..."
1005,	 "(42.7598, -74.616)",	 "Tue Jan 20 14:00:57 UTC 2015",	 "false",	 "Koop",	 "108 North 3rd Street, Douglas, WY 82633",	 "1421762457446",	 "5 of 5 stars",	 "awesome place",	 "great value and service ! the place was extra clean and help was wonderful again ! also the home made curly fries were .....well awesome !"
1005,	 "(42.7601, -74.6147)",	 "Tue Jan 20 16:01:35 UTC 2015",	 "false",	 "Friendz Pizzeria",	 "120 North 2nd Street, Douglas, WY 82633",	 "1421769695446",	 "4 of 5 stars",	 "Finally--A place to get a great pizza in Douglas",	 "First time at Friendz. Happy to see that they are making homemade crusts as advertised! Delicious medium thin crust. Tastes as if it has herbs in it. Sauce was a bit ''pasty''. I recommend thinning it with olive oil. Adequate amount of toppings on the pizza. All in all, a good value for a great pizza. Wish them well!"
1005,	 "(42.85965, -73.9351)",	 "Wed Jan 21 09:00:00 UTC 2015",	 "false",	 "Golden Bird",	 "123 Saratoga Rd, Scotia, NY 12302-7154",	 "1421830800446",	 "",	 "",	 ""
1005,	 "(42.86033, -73.9324)",	 "Wed Jan 21 11:03:57 UTC 2015",	 "false",	 "Empire State Aeroscineces Museum",	 "250 Rudy Chase Drive, Scotia, NY 12302",	 "1421838237446",	 "4 of 5 stars",	 "A nice slice of history",	 "Representative aircraft from many eras, back the WWII, Lots of Viet Nam era craft and more modern, you can get right next to and touch a piece of history."
1005,	 "(42.8601, -73.9347)",	 "Wed Jan 21 13:06:53 UTC 2015",	 "false",	 "Ruggiero''s Pizza and Deli",	 "123 Saratoga Rd, Glenville, NY 12302",	 "1421845613446",	 "4 of 5 stars",	 "Good for your lunch break",	 "Was in the area for work so stopped here for lunch. I ordered a chicken parm sandwich, grabbed a bag of chips and a water. The girl who took my order told me that it would probably take 15 minutes and asked me if that would be okay, I said yes because I wasn''t in a hurry. We sat down,..."
1005,	 "(42.86807, -73.9327)",	 "Wed Jan 21 14:18:07 UTC 2015",	 "false",	 "Glenville Queen Diner",	 "210 Saratoga Rd, Scotia, NY 12302-4509",	 "1421849887446",	 "2 of 5 stars",	 "Medicore Diner Food",	 "We love diner food and this place has some of the worst low quality food. Don''t get the hot turkey sandwich unless you like instant potatoes, salty gelantinous processed turkey and can gravy. Overpriced, skimpy and the waitress rides a broomstick. Stay away. There are many great diners around like Rt.7, Halfmoon and Blue Ribbon. This joint gives diners a..."
1005,	 "(42.87158, -73.9312)",	 "Wed Jan 21 15:23:16 UTC 2015",	 "false",	 "Tasty Wok",	 "272 Saratoga Rd, Scotia, NY 12302-5017",	 "1421853796446",	 "4 of 5 stars",	 "Very Tasty indeed!",	 "I''ve almost never met any Chinese food I did not like and this area has a number of take outs and all are pretty comparable. When Tasty Wok opened a few years ago even closer to me than the others, I only thought it would be the same but more convenient. The food IS better, the service is quick and..."
1005,	 "(42.8693, -73.93255)",	 "Wed Jan 21 17:26:38 UTC 2015",	 "false",	 "Neon Sushi",	 "247 Saratoga rd, Glenville, NY",	 "1421861198446",	 "5 of 5 stars",	 "Love it!",	 "Prior to moving to Glenville we frequented Hana in Albany(our favorite Hibachi ever!). We were excited to find a sushi/hibachi restaurant so close to our home(1/4 mile) - this is a good thing and bad thing! We LOVE hibachi and got 1-2 times per week.Neon has excellent and attentive service. We are greeted at the door by the Manager..."
1005,	 "(44.24081, -74.4785)",	 "Thu Jan 22 09:00:00 UTC 2015",	 "false",	 "Woodsmens Tavern and Grill",	 "36 Depot St, Tupper Lake, NY 12986-1223",	 "1421917200446",	 "",	 "",	 ""
1005,	 "(44.2408, -74.4794)",	 "Thu Jan 22 10:01:15 UTC 2015",	 "false",	 "Lumberjack Inn",	 "76 Main St, Tupper Lake, NY 12986-1250",	 "1421920875446",	 "4 of 5 stars",	 "Brunch at Tupper Lake",	 "We had a very good brunch called The Loader which was more sufficient for the long drive ahead of us with friendly service. A lot of locals were also eating which is a good sign. Very American diner"
1005,	 "(44.23938, -74.47851)",	 "Thu Jan 22 12:03:13 UTC 2015",	 "false",	 "P2''s Irish Pub",	 "31 Main Street, Tupper Lake, NY 12986",	 "1421928193446",	 "5 of 5 stars",	 "BEST PUB EVER",	 "My wife and I stopped by on a Monday night only to find the pub closed. Before we could leave the parking lot Michelle the owner flagged us down to invite us in to see the place and have a beer on the house. We enjoyed ourselves to the utmost and can''t imagine a more gracious host than Michelle. We..."
1005,	 "(44.24021, -74.4789)",	 "Thu Jan 22 14:04:24 UTC 2015",	 "false",	 "Larkin''s Deli",	 "58 Main Street, Tupper Lake, NY",	 "1421935464446",	 "5 of 5 stars",	 "Don''s miss the passtries",	 "Wow. The most delicious pastries I have had anywhere. I had a cherry tart. The pastry was flaky, buttery and so delicious. My husband also enjoyed the two selections he made.Even after reading the other reviews, we had a hard time finding the place. I saw the Sunoco sign and the Larkin sign but didn''t see the entrance to..."
1005,	 "(41.825, -74.12681)",	 "Fri Jan 23 09:00:00 UTC 2015",	 "false",	 "The D&H Canal Historical Society and Museum",	 "23 Mohonk Road, High Falls, NY",	 "1422003600446",	 "4 of 5 stars",	 "Unassuming yet fascinating",	 "We had a great tour of this small but fascinating museum. It''s a must for anyone who''s interested in history, especially with regards to trade and the logistics of it, in this case, the building and use of canals for the transport of goods. You''ll get to see some of the actual tools used to build the canals and boats,..."
1005,	 "(41.8269, -74.1264)",	 "Fri Jan 23 11:02:26 UTC 2015",	 "false",	 "Egg''s Nest Saloon",	 "1300 State Rte 213, High Falls, NY 12440",	 "1422010946446",	 "5 of 5 stars",	 "Great post-hike meals",	 "As an avid Catskill hiker, always look forward to a post-hike meal at the Eggs Nest. Whether it''s one of their vegetarian dishes or more traditional fare, the food is consistently excellent here. While not extensive, their choices for tap beer, usually includes a few good craft beers to accompany the meal. Can say the service is above average, too...."
1005,	 "(41.82, -74.1265)",	 "Fri Jan 23 13:16:28 UTC 2015",	 "false",	 "Kitchenette Restaurant",	 "1219 Rte 213, High Falls, NY",	 "1422018988446",	 "4 of 5 stars",	 "Great brunch, great waitress, fun place.",	 "Ate a late breakfast/brunch here. Good menu, lots of choice. My eggs, bacon and pancakes were well cooked. My friends French toast and the grits also good. Our waitress Georgia was great...really helpful and attentive. Fun place with painted wooden green booths, tables, plenty of space to spread out. Clean, bright and well designed. Popular spot, only been open a..."
1005,	 "(41.82694, -74.1265)",	 "Fri Jan 23 14:28:05 UTC 2015",	 "false",	 "High Falls Cafe",	 "12 Stone Dock Rd., High Falls, NY 12440",	 "1422023285446",	 "4 of 5 stars",	 "New Location",	 "My wife and I just visited their new location the at Stone Dock Golf Course. The restaurant is just a few minutes from the old location, however, the place is much nicer and overlooks the golf course. The food,service and price are still as good."
1005,	 "(42.2095, -74.10972)",	 "Sat Jan 24 09:00:00 UTC 2015",	 "false",	 "Deer Mountain Inn",	 "790 County Route 25, Tannersville, NY 12485",	 "1422090000446",	 "5 of 5 stars",	 "This is a new restaurant",	 "The Deer Mountain is in the process of being renovated and will reopen in mid-September. Don''t know what the food will be like, but the place is GORGEOUS. The entire ground floor has been redone - some great furniture, amazing chandeliers, William Morris fabrics, art ceramics. It''s like being in an elegant Catskills private camp or one of the nearby..."
1005,	 "(42.19705, -74.111)",	 "Sat Jan 24 10:19:23 UTC 2015",	 "false",	 "Chef''s Kitchen",	 "5547 Route 23A, Hunter, NY",	 "1422094763446",	 "5 of 5 stars",	 "My favorite Chinese",	 "Chef''s Kitchen gives a great variety of Chinese and American food. If you have picky eaters but you want Chinese you all can eat. They have a soft serve ice cream machine and others different toppings. They make many different desserts such as cookies, pies, cakes, and brownies."
1005,	 "(42.8601, -73.9347)",	 "Sun Jan 25 09:00:00 UTC 2015",	 "false",	 "Ruggiero''s Pizza and Deli",	 "123 Saratoga Rd, Glenville, NY 12302",	 "1422176400446",	 "5 of 5 stars",	 "Great selection, quality food!",	 "This place is wonderful! Wether your heading to work looking for a quick slice of pizza, or your ordering a diverse dinner for your entire family, I encourage you to give them a try. I started frequenting Ruggiero''s after my very first visit, and they have since become a tradition.Their deliveries are timely and the food is always tasty and..."
1005,	 "(42.86807, -73.9327)",	 "Sun Jan 25 10:11:14 UTC 2015",	 "false",	 "Glenville Queen Diner",	 "210 Saratoga Rd, Scotia, NY 12302-4509",	 "1422180674446",	 "3 of 5 stars",	 "Good food for the money",	 "The Glenville Diner has good food at a good price. The mixed fish plater is large enough for 2 people and good. The desserts leave a little to be desired."
1005,	 "(42.0346, -74.114)",	 "Mon Jan 26 09:00:00 UTC 2015",	 "false",	 "Havana Club Bar and Grill",	 "20 Country Club Lane, Woodstock, NY 12498",	 "1422262800446",	 "4 of 5 stars",	 "Love the atmosphere!",	 "Yummy food OK prices. Have had a bad experience with the service once or twice but the atmosphere is what I like most here."
